ride_count,avg_ride_l,member_casual,route
221070,00:20:55.2773,"member"," to "
4082,00:10:05.7802,"member","Ellis Ave & 60th St to Ellis Ave & 55th St"
3652,00:09:50.8409,"member","Ellis Ave & 55th St to Ellis Ave & 60th St"
3109,00:09:53.4532,"member","Ellis Ave & 60th St to University Ave & 57th St"
3010,00:08:43.4255,"member","University Ave & 57th St to Ellis Ave & 60th St"
1989,00:06:25.6279,"member","Calumet Ave & 33rd St to State St & 33rd St"
1962,00:29:29.4373,"member","University Ave & 57th St to "
1954,00:07:15.3306,"member","State St & 33rd St to Calumet Ave & 33rd St"
1860,00:08:48.3655,"member","Loomis St & Lexington St to Morgan St & Polk St"
1809,00:15:09.5378,"member","Ellis Ave & 60th St to "
